,hindi_tweets
73,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
74,"गोमूत-गोवर का भोजन करने वाले अन्ध्भक्त और भारत के प्रधानमंत्री ने पहले ही दुनिया भर में भारत की मज़ाक़ बनवा रखी थी के अब 
बाबा हरामदेव ने अपनी जहालत की वजाह से,इम्युनिटी ओर बुख़ार की दवा को #Covid-19 की दवा का दावा करके पुरी दुनियाँ में भारत की मज़ाक़ बनवा दी है।

#LaanatHaiYaar"
75,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
76,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
77,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
78,"प्रेग्नेंट महिलाओं में कोविड-19 संक्रमण का गंभीर खतरा, यूं रखें खुद को सेफ और हेल्दी 
 #Coronavirus #COVID-19 #PregnancyTips #PregnantWomen #कोरोनावायरस 
 https://t.co/Rig3mqvtcV"
79,RT @DevprakashIRS: #COVID 19 के चक्कर में शादी में जब 50 व्यक्तियों की ही परमिशन मिल रही है तो दोस्तों के साथ #रायता खींचने का दृश्य देखने…
80,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
81,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
82,RT @GhanendraB: 80 दिन तक दिल्ली सरकार मुख्यमंत्री @ArvindKejriwal जी के नेतृत्व मे अकेले  #COVID से लड़ती रही अस्पतालों मे जरूरी इंतजाम उप…
