tweet_id,retweet_count,favourite_count,length_before,length_after,length_ratio,number_of_upper_chars,has_question_marks,number_of_question_marks,has_exclamation_marks,number_of_exclamation_marks,chars_in_desc,chars_in_real_name,chars_in_user_handle,num_matches,total_urls_in_desc,official_url_exists,followers_count,friends_count,listed_count,favourites_count,geo_enabled,acc_life,verified,num_tweets,protected,posting_frequency,activity,avg_likes_per_tweet,follower_friends_ratio,label
1277466946393403392,94,0,140,106,0.7571428571428571,8,0,0,1,1,2,12,11,3,0,1,1487,1432,0,31926,1,2101,0,13202,0,6.283674440742503,0,2.4182699590971066,1.0384078212290502,1
1277466925497331713,2,0,126,61,0.48412698412698413,17,0,0,0,0,49,18,10,2,0,1,1467,307,19,1494,0,2697,0,6536,0,2.4234334445680386,0,0.22858017135862913,4.778501628664495,1
1277466906031730690,4,0,140,105,0.75,7,0,0,0,0,27,12,15,3,0,0,461,511,0,28048,1,1105,0,19746,0,17.869683257918552,0,1.4204395827002938,0.9021526418786693,1
1277466871663677441,17,0,140,123,0.8785714285714286,3,0,0,0,0,9,19,15,3,0,0,5,22,0,0,0,64,0,15,0,0.234375,41,0.0,0.22727272727272727,0
1277466838020964353,0,1,84,59,0.7023809523809523,10,0,0,0,0,121,16,14,4,1,1,1161,107,1,0,1,310,0,1995,0,6.435483870967742,0,0.0,10.850467289719626,0
1277466829754183681,0,1,49,24,0.4897959183673469,5,0,0,0,0,15,10,11,3,0,0,70,108,0,433,0,130,0,423,0,3.253846153846154,0,1.0236406619385343,0.6481481481481481,0
1277466771063095296,0,0,131,82,0.6259541984732825,11,0,0,0,0,160,25,14,2,0,0,1742,1842,1,50311,1,959,0,30472,0,31.774765380604798,0,1.6510567077973222,0.9457111834961998,1
1277466741824786432,9,0,140,106,0.7571428571428571,16,0,0,0,0,0,9,15,2,0,0,38,36,0,1057,0,358,0,356,0,0.994413407821229,1,2.9691011235955056,1.0555555555555556,0
1277466727140323330,8,0,135,76,0.562962962962963,11,0,0,0,0,80,12,14,4,0,0,1734,2281,1,32171,0,1067,0,49025,0,45.94657919400188,0,0.6562162162162162,0.7601928978518194,0
1277466584462684161,0,0,71,42,0.5915492957746479,2,0,0,0,0,56,2,13,1,0,0,441,727,2,6610,0,2796,0,5592,0,2.0,1,1.1820457796852646,0.6066024759284732,0
1277466533820653568,50,0,140,117,0.8357142857142857,8,0,0,0,0,0,3,10,2,0,0,302,343,0,5310,0,901,0,7914,0,8.783573806881243,1,0.6709628506444276,0.880466472303207,0
1277466531304071168,68,0,126,88,0.6984126984126984,10,0,0,0,0,150,22,8,2,1,1,651,471,0,2961,1,1964,0,4783,0,2.435336048879837,0,0.619067530838386,1.3821656050955413,1
1277466290584600576,44,0,140,122,0.8714285714285714,9,0,0,0,0,8,5,13,2,0,0,27,15,0,972,0,81,0,989,0,12.209876543209877,15,0.9828109201213346,1.8,0
1277466289783492609,0,0,77,76,0.987012987012987,1,0,0,0,0,83,12,11,4,0,0,0,30,0,77,0,53,0,60,0,1.1320754716981132,1,1.2833333333333334,0.0,0
1277466090503725056,420,0,140,126,0.9,6,0,0,0,0,147,10,14,3,0,1,1153,976,22,105589,1,1678,0,121260,0,72.26460071513706,0,0.8707652977074056,1.1813524590163935,1
1277466055909269504,3,0,140,107,0.7642857142857142,10,0,0,0,0,159,12,13,1,0,0,128,54,0,13193,0,2384,0,11787,0,4.944211409395973,2,1.1192839569016713,2.3703703703703702,1
1277465982693302272,95,0,140,119,0.85,5,0,0,0,0,0,8,15,2,0,0,4,3,0,142,0,55,0,145,0,2.6363636363636362,2,0.9793103448275862,1.3333333333333333,0
